annotator_a_label,annotator_b_label,count
SEMANTICALLY_NEW,SEMANTICALLY_NEW,13
SEMANTICALLY_NEW,DUPLICATE_OR_EQUIVALENT,0
SEMANTICALLY_NEW,SUPERSESSION_ONLY,3
SEMANTICALLY_NEW,WRONG_AXIS,0
SEMANTICALLY_NEW,INSUFFICIENT_EVIDENCE,0
DUPLICATE_OR_EQUIVALENT,SEMANTICALLY_NEW,0
DUPLICATE_OR_EQUIVALENT,DUPLICATE_OR_EQUIVALENT,11
DUPLICATE_OR_EQUIVALENT,SUPERSESSION_ONLY,0
DUPLICATE_OR_EQUIVALENT,WRONG_AXIS,0
DUPLICATE_OR_EQUIVALENT,INSUFFICIENT_EVIDENCE,3
SUPERSESSION_ONLY,SEMANTICALLY_NEW,0
SUPERSESSION_ONLY,DUPLICATE_OR_EQUIVALENT,0
SUPERSESSION_ONLY,SUPERSESSION_ONLY,0
SUPERSESSION_ONLY,WRONG_AXIS,0
SUPERSESSION_ONLY,INSUFFICIENT_EVIDENCE,0
WRONG_AXIS,SEMANTICALLY_NEW,0
WRONG_AXIS,DUPLICATE_OR_EQUIVALENT,0
WRONG_AXIS,SUPERSESSION_ONLY,0
WRONG_AXIS,WRONG_AXIS,0
WRONG_AXIS,INSUFFICIENT_EVIDENCE,0
INSUFFICIENT_EVIDENCE,SEMANTICALLY_NEW,0
INSUFFICIENT_EVIDENCE,DUPLICATE_OR_EQUIVALENT,0
INSUFFICIENT_EVIDENCE,SUPERSESSION_ONLY,0
INSUFFICIENT_EVIDENCE,WRONG_AXIS,0
INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,0
